                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.73859,                0.73348,                      0,                0.45682,                0.98308,                0.99891,                      1,                  0.995,                0.89064,                0.87622,                0.87719,                 0.8101,                0.38219,                0.56998,                 3.1357,                      0,                0.32883,                0.94086,              0.0011288,              0.0011288,              0.0011288
                     47,                0.72164,                0.76384,                      0,                0.44999,                0.97079,                0.99894,                      1,                  0.995,                0.87197,                0.56103,                 0.5614,                0.41741,                0.25258,                0.64549,                 3.6693,                      0,                0.35174,                0.99722,               0.001109,               0.001109,               0.001109
                     48,                0.71988,                0.76508,                      0,                0.44818,                0.96862,                0.99418,                      1,                  0.995,                0.88869,                0.66262,                0.66667,                0.52539,                0.33299,                0.57818,                 3.3162,                      0,                 0.3222,                0.92245,              0.0010892,              0.0010892,              0.0010892
                     49,                0.68909,                0.68997,                      0,                0.44146,                0.97112,                0.99588,                      1,                  0.995,                0.87178,                0.82116,                0.82456,                0.70954,                0.34771,                0.61319,                 3.5696,                      0,                0.34725,                0.94824,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.7013,                0.63703,                      0,                0.44293,                0.96167,                0.97668,                      1,                  0.995,                0.84337,                0.81875,                0.84211,                0.73109,                0.33081,                0.72634,                 3.5978,                      0,                0.42212,                0.97141,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.7048,                0.69157,                      0,                 0.4335,                0.95759,                0.99891,                      1,                  0.995,                0.87322,                0.68339,                0.68421,                 0.5098,                0.27797,                0.55815,                 3.3704,                      0,                  0.334,                0.91827,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.7036,                0.74562,                      0,                0.43221,                0.97047,                0.99861,                      1,                  0.995,                0.88741,                0.52556,                0.52632,                0.31935,                 0.2212,                0.54065,                 3.5233,                      0,                0.33945,                0.92549,                0.00101,                0.00101,                0.00101
                     53,                0.69063,                 0.6952,                      0,                 0.4297,                0.96424,                0.99855,                      1,                  0.995,                0.89404,                 0.6657,                0.66667,                0.51736,                0.26194,                0.53179,                  3.907,                      0,                0.30258,                0.92078,              0.0009902,              0.0009902,              0.0009902
                     54,                0.71162,                 0.7319,                      0,                0.44061,                0.96944,                 0.9989,                      1,                  0.995,                0.86619,                0.43818,                 0.4386,                0.22207,                0.17034,                0.60733,                 3.7373,                      0,                 0.3281,                0.94434,              0.0009704,              0.0009704,              0.0009704
                     55,                0.70859,                0.75403,                      0,                0.43148,                0.96633,                0.99779,                      1,                  0.995,                0.82299,                0.47264,                0.47368,                0.29573,                0.14187,                0.79413,                 4.2547,                      0,                0.40868,                 1.0529,              0.0009506,              0.0009506,              0.0009506
                     56,                0.70493,                0.68131,                      0,                0.41815,                0.96791,                0.99893,                      1,                  0.995,                0.84463,                0.49069,                0.49123,                0.31002,                0.22452,                0.70851,                 3.7898,                      0,                0.34694,                0.92843,              0.0009308,              0.0009308,              0.0009308
                     57,                0.73362,                0.65606,                      0,                0.42162,                0.96744,                0.99892,                      1,                  0.995,                0.89445,                0.66602,                0.66667,                0.51718,                0.27595,                0.58061,                 3.4615,                      0,                0.30673,                0.92248,               0.000911,               0.000911,               0.000911
                     58,                0.72906,                 0.6191,                      0,                0.43733,                0.97429,                0.99606,                      1,                  0.995,                0.90166,                0.48945,                0.49123,                0.32461,                0.25407,                0.52109,                 3.5105,                      0,                0.30573,                0.90152,              0.0008912,              0.0008912,              0.0008912
                     59,                0.68503,                0.63231,                      0,                0.42232,                0.96715,                0.98628,                      1,                  0.995,                0.88317,                 0.5876,                0.59649,                0.39254,                0.24214,                0.53487,                 3.4243,                      0,                0.37328,                0.89494,              0.0008714,              0.0008714,              0.0008714
                     60,                0.66346,                0.58536,                      0,                0.40192,                0.95944,                0.99892,                      1,                  0.995,                 0.8697,                0.68346,                0.68421,                0.57451,                 0.2902,                0.60456,                 3.7608,                      0,                0.30774,                0.94621,              0.0008516,              0.0008516,              0.0008516
                     61,                0.64029,                0.61827,                      0,                  0.399,                 0.9505,                0.99895,                      1,                  0.995,                 0.8895,                 0.5258,                0.52632,                0.38015,                0.26095,                 0.5959,                 3.4577,                      0,                 0.3003,                 0.9196,              0.0008318,              0.0008318,              0.0008318
                     62,                0.64599,                0.57643,                      0,                0.40155,                0.94834,                0.99886,                      1,                  0.995,                0.85976,                 0.5964,                0.59649,                0.46119,                0.30149,                0.62227,                 3.3803,                      0,                0.31967,                0.91194,               0.000812,               0.000812,               0.000812
                     63,                0.65832,                0.51587,                      0,                0.39876,                 0.9551,                0.99889,                      1,                  0.995,                0.87836,                0.80661,                0.80702,                0.75314,                0.42861,                0.61291,                  2.912,                      0,                 0.3593,                0.91729,              0.0007922,              0.0007922,              0.0007922
