                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.72344,                0.69092,                      0,                0.44477,                0.97913,                0.99918,                      1,                  0.995,                0.83032,                0.68906,                0.69486,                0.58955,                0.27098,                 0.7364,                 3.8013,                      0,                0.38921,                 1.0002,               0.000911,               0.000911,               0.000911
                     58,                0.68654,                 0.6384,                      0,                0.44144,                0.97307,                0.99972,                      1,                  0.995,                0.77734,                0.69471,                0.69492,                0.53764,                0.24238,                0.85953,                 3.8171,                      0,                0.38823,                 1.0388,              0.0008912,              0.0008912,              0.0008912
                     59,                0.68483,                0.64804,                      0,                0.43149,                0.95592,                0.99973,                      1,                  0.995,                0.81671,                0.72858,                0.72881,                0.55522,                0.32133,                0.76656,                 3.0016,                      0,                0.38107,                 1.0356,              0.0008714,              0.0008714,              0.0008714
                     60,                0.66587,                0.68772,                      0,                0.43056,                0.95537,                0.99987,                      1,                  0.995,                0.81646,                0.69734,                0.69492,                0.52073,                0.34123,                0.75174,                 2.8652,                      0,                0.40248,                 1.0014,              0.0008516,              0.0008516,              0.0008516
                     61,                0.69438,                0.77631,                      0,                0.45713,                0.97368,                      1,                0.99992,                  0.995,                0.81721,                 0.7143,                0.71186,                0.56534,                0.27472,                0.76829,                 3.2913,                      0,                0.39778,                0.99804,              0.0008318,              0.0008318,              0.0008318
                     62,                0.64613,                0.70881,                      0,                0.43228,                0.95093,                      1,                0.99544,                  0.995,                0.80716,                0.52245,                0.52542,                0.34219,                0.18208,                 0.7424,                 3.9167,                      0,                 0.3877,                0.97215,               0.000812,               0.000812,               0.000812
                     63,                0.63795,                0.62166,                      0,                0.42807,                0.94987,                0.99973,                      1,                  0.995,                0.80708,                0.46165,                0.46186,                0.27661,                 0.2153,                0.76197,                 3.6877,                      0,                0.39308,                0.98137,              0.0007922,              0.0007922,              0.0007922
                     64,                0.65618,                0.60591,                      0,                0.43334,                0.96545,                0.99972,                      1,                  0.995,                0.77885,                0.49982,                    0.5,                0.34183,                0.26769,                0.90414,                 3.5073,                      0,                0.42707,                 1.0542,              0.0007724,              0.0007724,              0.0007724
                     65,                0.68215,                 0.7192,                      0,                0.43259,                 0.9666,                0.99972,                      1,                  0.995,                 0.7482,                0.49985,                    0.5,                0.34747,                0.28399,                0.94232,                 3.4647,                      0,                0.46328,                 1.0785,              0.0007526,              0.0007526,              0.0007526
                     66,                0.65205,                0.69955,                      0,                0.41224,                0.94984,                0.99972,                      1,                  0.995,                0.81197,                0.52527,                0.52542,                0.38795,                0.29137,                0.77919,                  3.504,                      0,                0.40039,                 1.0057,              0.0007328,              0.0007328,              0.0007328
